bus_intern,bus_extern,capacity,duration,storage_cap,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
22,55,297,8,3240.8639999999996,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
23,56,818,8,8926.016,1.0,-0.549375522377834,-0.4957049817715951,-0.42061142582623917,0.09,-0.5518155754922098,-0.6688268934724277,-0.522569753960313
24,57,818,8,8926.016,1.0,-0.6479383843284736,-0.5226401174160696,-0.42827711193110085,0.37,-0.6296304443660258,-0.7007741801334597,-0.5800402729674224
27,60,545,8,5947.039999999999,1.0,-0.7391543275476001,-0.5229265115921308,-0.4156701245621567,0.15,-0.7427319429021348,-0.8325334140257848,-0.7071946003654724
29,62,10,8,109.11999999999999,1.0,-0.3054600120321046,-0.22747952439397598,-0.18357210743231275,0.08,-0.30809587798057625,-0.3580796585664877,-0.29064205452352837
18,51,837,8,9133.344,1.0,-0.6293415720978602,-0.280912014401546,-0.22780239038479103,0.675,-0.627973406140636,-0.6623662479329642,-0.5867942285511668
32,65,1269,8,13847.328,1.0,-0.5979631103242031,-0.2863100532885286,-0.23982661308935682,0.785,-0.6000786209170579,-0.6261392285830197,-0.545896017266696
38,71,431,8,4703.071999999999,1.0,-0.4430711953068702,-0.2594490711529506,-0.20827512103829662,0.72,-0.44303016324271816,-0.4720100211444417,-0.4117039255350085
15,48,2562,8,27956.543999999998,1.0,-0.6492063049973585,-0.5278945709569532,-0.4230835898286612,0.195,-0.6499033602525187,-0.7168950162123048,-0.6115100112973878
5,38,294,8,3208.1279999999997,1.0,-0.34736926080722696,-0.2158980736853669,-0.174197151449552,0.91,-0.3483359422168437,-0.36999906775615476,-0.295754978211414
12,45,597,8,6514.463999999999,1.0,-0.4262536792641279,-0.24082806318335367,-0.1953900602979887,0.275,-0.4322926016420771,-0.48748472667772547,-0.39345253806720826
4,37,1961,8,21398.431999999997,1.0,-0.7051273842677886,-0.4472881553011464,-0.3404753613827097,0.08,-0.7018961209613757,-0.8028455338585636,-0.6795721138833642
9,42,2765,8,30171.679999999997,1.0,-0.6941727181945307,-0.35008088485037553,-0.2696539579922661,0.42,-0.6910231149347439,-0.7469172327536894,-0.6563396418341063
6,39,45,8,491.03999999999996,1.0,-0.46754769312529565,-0.38002631683104693,-0.3205387984171266,0.005,-0.460707047462837,-0.6093705587379111,-0.45922655082985187
44,77,105,8,1145.76,1.0,-0.39614065019169065,-0.24699566151995822,-0.20024015338249893,0.25,-0.3980927947322871,-0.44559044115440505,-0.36281024470127027
41,74,140,8,1527.6799999999998,1.0,-0.555799720435209,-0.2567363156171043,-0.20405131769604765,0.045,-0.5549200305791079,-0.6233047569361806,-0.5409428550938477
45,78,140,8,1527.6799999999998,1.0,-0.5062493399765544,-0.2637526139175598,-0.21574494919654405,0.07,-0.5062384411517319,-0.5682126144715959,-0.48807971107710857
48,81,1449,8,15811.488,1.0,-0.6343172247730057,-0.30278978666385936,-0.2501380026191023,0.185,-0.631542304864589,-0.6870340099647876,-0.5991303129245408
49,82,2813,8,30695.456,1.0,-0.6353496984191642,-0.3488515741658757,-0.2706662919542757,0.04,-0.634465418652924,-0.6938844638848654,-0.6190078820989354
46,79,1202,8,13116.223999999998,1.0,-0.6589000416763631,-0.2986927998939842,-0.23574349245371523,0.625,-0.6587667346149457,-0.6906783583106982,-0.6244353514371759
47,80,721,8,7867.552,1.0,-0.6043549069759967,-0.2815358081861327,-0.23443124179760388,0.685,-0.6058190552910125,-0.6370087780831286,-0.5614336663999088
5,38,1170,12,19150.559999999998,1.0,-0.2770043581968382,-0.2362169377647413,-0.18385331420471057,0.95,-0.27901613032038813,-0.28694227184136634,-0.2398305727728266
