id,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
1,0.005,-0.18769334673445323,-0.22107963521099663,-0.1876932598127919,0.02,-0.18804934840315388,-0.24312710273312496,-0.18104863153051223
2,0.31,-0.23923825528621867,-0.2622682551075788,-0.22329596648318586,0.305,-0.24039123610135052,-0.2784740355095623,-0.21882871499488094
3,0.02,-0.21430115494022084,-0.2377472864706238,-0.21204116628742387,0.01,-0.21375831327826908,-0.2543188188433171,-0.21029745466527716
4,0.955,-0.20029191308453417,-0.21043548028738632,-0.16467472386290855,0.06,-0.20394107070050235,-0.2522356735651549,-0.18057514281958725
5,0.115,-0.1785991186818105,-0.20014108852975807,-0.16669316460881106,0.0,-0.17961493443667906,-0.21753559237725498,-0.18150456056321077
6,0.63,-0.3221569376980707,-0.33461186433865175,-0.3073239287406982,0.03,-0.32031320806082375,-0.34426455690964725,-0.3113017248846492
7,0.565,-0.24910114879752282,-0.2632150307682814,-0.23304351601573112,0.1,-0.24910114879752282,-0.26824761853855944,-0.22860906799651137
8,0.0,-0.22664039884564854,-0.25686704155747775,-0.22806136844275468,0.0,-0.22664039884564854,-0.2629574758772715,-0.23616423390501767
9,0.025,-0.21255300713397784,-0.2356939864828649,-0.21002041761498358,0.0,-0.21255300713397784,-0.2509999636964048,-0.2184067741917246
10,0.2,-0.2188449095239147,-0.2382535126181221,-0.2098301624481953,0.085,-0.2200603341476508,-0.2555061748911548,-0.19984393841566542
11,0.0,-0.18628435364164683,-0.21940699210760514,-0.1876775444124042,0.0,-0.18596091881338325,-0.25852001058901813,-0.19234586358476577
12,0.065,-0.1833857060435776,-0.2089810654717434,-0.1783528094560414,0.005,-0.18309129083089676,-0.22169314635178042,-0.18309129083089676
13,0.205,-0.28298543482536004,-0.3092828203832748,-0.2706568535503978,0.045,-0.283177417247959,-0.32883566878233916,-0.2747425271068483
14,0.56,-0.20905990561010648,-0.22410187061340234,-0.18859079514607213,0.41,-0.20990539062312819,-0.24206524408347063,-0.17765450875908897
15,0.755,-0.2194131796447585,-0.23440326678759493,-0.2038476908503946,0.3,-0.21956011938325692,-0.23500867308651158,-0.19885357908831144
