k,obj,n_iter,min_cluster_size,max_cluster_size
2,16499.213645607004,3,3267,3333
3,13565.452378949378,3,2109,2372
4,11758.569348736823,3,1264,2160
5,10631.387052777043,4,357,2223
6,9164.064293685373,4,235,1771
7,8689.036654577087,2,223,1545
8,8069.675794863127,3,68,1282
9,8038.516898872197,4,147,1456
10,7758.917586883341,6,20,1414
11,7335.066276897843,8,27,1456
12,6886.212573149597,4,27,1137
13,6572.752633112439,6,32,1071
14,6671.221539935943,3,24,1223
15,6087.0603271732425,4,20,1222
16,5984.382624792233,6,24,1111
17,5628.936235061194,5,24,1016
18,5779.826964861206,4,12,1041
19,5522.6885451491935,4,13,1016
20,5336.734288946966,6,23,1216
